"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"75 mg/kg versus 0 mg/kg"	"Colidextribacter"	-0.676363251840425	0.55144798069774	-1.22652231128788	0.225423405785172	1
"75 mg/kg versus 0 mg/kg"	"Jeotgalicoccus"	0.920287754391449	0.66725135402202	1.37922201108202	0.173618808858849	1
"75 mg/kg versus 0 mg/kg"	"Olsenella"	-1.97143851200696	0.696592068344523	-2.83011909207085	0.00655892505735484	1
"75 mg/kg versus 0 mg/kg"	"Acinetobacter"	3.67578468910604	0.724732962309098	5.07191597494681	5.15283592118244e-06	0.00407074037773413
"75 mg/kg versus 0 mg/kg"	"Fournierella"	-0.989736494464375	0.270425496417549	-3.65992300125495	0.000582059337391336	0.459826876539156
"75 mg/kg versus 0 mg/kg"	"Asinibacterium"	0.353997891966672	0.261943111735984	1.35143042938068	0.182298003530571	1
"75 mg/kg versus 0 mg/kg"	"Lachnospiraceae Family"	-0.939308446262186	0.360606447938891	-2.60480213715248	0.011903491977669	1
"75 mg/kg versus 0 mg/kg"	"Fusobacterium"	-0.649134097661947	0.534137295991221	-1.2152944618056	0.229639897370808	1
"75 mg/kg versus 0 mg/kg"	"Alistipes"	-0.934522502567796	0.401395618809425	-2.32818311604813	0.0237505872953734	1
"75 mg/kg versus 0 mg/kg"	"Clostridia UCG-014 Order"	-0.704421111601891	0.394248714636477	-1.78674295045302	0.0796988154982487	1
"75 mg/kg versus 0 mg/kg"	"Actinomycetaceae Family"	0.618701649471812	0.398140896753214	1.55397663118067	0.126141655904352	1
"75 mg/kg versus 0 mg/kg"	"Anaerosporobacter"	-1.22593257661024	0.453427398082072	-2.70370202990764	0.00919619190398764	1
"75 mg/kg versus 0 mg/kg"	"Streptococcus"	1.36881852694621	0.356056819013338	3.84438228353362	0.000325742974947744	0.257336950208717
"75 mg/kg versus 0 mg/kg"	"Porphyromonas"	3.38957273991391	0.924297537219352	3.66718789504845	0.000569051095818906	0.449550365696936
