file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
rawreads/M24_2.fq.gz	FASTQ	DNA	115659	25907528	223	224.0	224
rawreads/M25_1.fq.gz	FASTQ	DNA	115826	26060506	223	225.0	225
rawreads/M25_2.fq.gz	FASTQ	DNA	115826	25944826	215	224.0	224
rawreads/M26_1.fq.gz	FASTQ	DNA	149260	33583041	223	225.0	225
rawreads/M26_2.fq.gz	FASTQ	DNA	149260	33433935	222	224.0	224
rawreads/M27_1.fq.gz	FASTQ	DNA	132201	29745006	223	225.0	225
rawreads/M27_2.fq.gz	FASTQ	DNA	132201	29612750	223	224.0	224
rawreads/M28_1.fq.gz	FASTQ	DNA	115848	26065620	223	225.0	225
rawreads/M28_2.fq.gz	FASTQ	DNA	115848	25949839	222	224.0	224
rawreads/M29_1.fq.gz	FASTQ	DNA	149181	33565447	223	225.0	225
rawreads/M29_2.fq.gz	FASTQ	DNA	149181	33416222	222	224.0	224
rawreads/M2_1.fq.gz	FASTQ	DNA	126706	28508639	224	225.0	225
rawreads/M2_2.fq.gz	FASTQ	DNA	126706	28381906	221	224.0	224
rawreads/M30_1.fq.gz	FASTQ	DNA	149225	33575359	217	225.0	225
rawreads/M30_2.fq.gz	FASTQ	DNA	149225	33426223	222	224.0	224
rawreads/M31_1.fq.gz	FASTQ	DNA	140964	31716670	223	225.0	225
rawreads/M31_2.fq.gz	FASTQ	DNA	140964	31575730	222	224.0	224
rawreads/M32_1.fq.gz	FASTQ	DNA	138447	31150360	224	225.0	225
rawreads/M32_2.fq.gz	FASTQ	DNA	138447	31011881	218	224.0	224
rawreads/M33_1.fq.gz	FASTQ	DNA	118028	26556089	224	225.0	225
rawreads/M33_2.fq.gz	FASTQ	DNA	118028	26437963	215	224.0	224
rawreads/M34_1.fq.gz	FASTQ	DNA	129315	29095677	224	225.0	225
rawreads/M34_2.fq.gz	FASTQ	DNA	129315	28966389	222	224.0	224
rawreads/M35_1.fq.gz	FASTQ	DNA	129858	29217845	223	225.0	225
rawreads/M35_2.fq.gz	FASTQ	DNA	129858	29088047	221	224.0	224
rawreads/M36_1.fq.gz	FASTQ	DNA	145222	32674724	223	225.0	225
rawreads/M36_2.fq.gz	FASTQ	DNA	145222	32529614	223	224.0	224
rawreads/M37_1.fq.gz	FASTQ	DNA	118002	26550232	224	225.0	225
rawreads/M37_2.fq.gz	FASTQ	DNA	118002	26432316	221	224.0	224
rawreads/M38_1.fq.gz	FASTQ	DNA	136091	30620222	224	225.0	225
rawreads/M38_2.fq.gz	FASTQ	DNA	136091	30484196	221	224.0	224
rawreads/M39_1.fq.gz	FASTQ	DNA	131780	29650244	223	225.0	225
rawreads/M39_2.fq.gz	FASTQ	DNA	131780	29518584	222	224.0	224
rawreads/M3_1.fq.gz	FASTQ	DNA	136249	30655859	224	225.0	225
rawreads/M3_2.fq.gz	FASTQ	DNA	136249	30519450	215	224.0	224
rawreads/M40_1.fq.gz	FASTQ	DNA	129172	29063461	223	225.0	225
rawreads/M40_2.fq.gz	FASTQ	DNA	129172	28934239	223	224.0	224
rawreads/M41_1.fq.gz	FASTQ	DNA	128995	29023668	223	225.0	225
rawreads/M41_2.fq.gz	FASTQ	DNA	128995	28894591	222	224.0	224
rawreads/M42_1.fq.gz	FASTQ	DNA	133787	30101775	220	225.0	225
rawreads/M42_2.fq.gz	FASTQ	DNA	133787	29968020	215	224.0	224
rawreads/M43_1.fq.gz	FASTQ	DNA	120032	27006975	223	225.0	225
rawreads/M43_2.fq.gz	FASTQ	DNA	120032	26886990	222	224.0	224
rawreads/M44_1.fq.gz	FASTQ	DNA	118226	26600596	224	225.0	225
rawreads/M44_2.fq.gz	FASTQ	DNA	118226	26482417	223	224.0	224
rawreads/M45_1.fq.gz	FASTQ	DNA	139461	31378444	224	225.0	225
rawreads/M45_2.fq.gz	FASTQ	DNA	139461	31238937	221	224.0	224
rawreads/M46_1.fq.gz	FASTQ	DNA	124711	28059743	224	225.0	225
rawreads/M46_2.fq.gz	FASTQ	DNA	124711	27935120	223	224.0	224
rawreads/M47_1.fq.gz	FASTQ	DNA	127923	28782421	222	225.0	225
rawreads/M47_2.fq.gz	FASTQ	DNA	127923	28654631	217	224.0	224
rawreads/M48_1.fq.gz	FASTQ	DNA	121309	27294269	223	225.0	225
rawreads/M48_2.fq.gz	FASTQ	DNA	121309	27173112	221	224.0	224
rawreads/M49_1.fq.gz	FASTQ	DNA	142452	32051395	223	225.0	225
rawreads/M49_2.fq.gz	FASTQ	DNA	142452	31909009	221	224.0	224
rawreads/M4_1.fq.gz	FASTQ	DNA	147958	33290361	224	225.0	225
rawreads/M4_2.fq.gz	FASTQ	DNA	147958	33142442	223	224.0	224
rawreads/M50_1.fq.gz	FASTQ	DNA	114997	25874096	224	225.0	225
rawreads/M50_2.fq.gz	FASTQ	DNA	114997	25759110	222	224.0	224
rawreads/M51_1.fq.gz	FASTQ	DNA	120453	27101675	223	225.0	225
rawreads/M51_2.fq.gz	FASTQ	DNA	120453	26981220	223	224.0	224
rawreads/M52_1.fq.gz	FASTQ	DNA	92577	20829595	223	225.0	225
rawreads/M52_2.fq.gz	FASTQ	DNA	92577	20737120	222	224.0	224
rawreads/M53_1.fq.gz	FASTQ	DNA	101044	22734647	223	225.0	225
rawreads/M53_2.fq.gz	FASTQ	DNA	101044	22633670	222	224.0	224
rawreads/M54_1.fq.gz	FASTQ	DNA	75862	17068742	219	225.0	225
rawreads/M54_2.fq.gz	FASTQ	DNA	75862	16992973	221	224.0	224
rawreads/M55_1.fq.gz	FASTQ	DNA	117249	26380757	224	225.0	225
rawreads/M55_2.fq.gz	FASTQ	DNA	117249	26263622	222	224.0	224
rawreads/M56_1.fq.gz	FASTQ	DNA	131799	29654462	223	225.0	225
rawreads/M56_2.fq.gz	FASTQ	DNA	131799	29522722	220	224.0	224
rawreads/M57_1.fq.gz	FASTQ	DNA	120355	27079588	223	225.0	225
rawreads/M57_2.fq.gz	FASTQ	DNA	120355	26959229	215	224.0	224
rawreads/M58_1.fq.gz	FASTQ	DNA	127440	28673720	223	225.0	225
rawreads/M58_2.fq.gz	FASTQ	DNA	127440	28546389	220	224.0	224
rawreads/M59_1.fq.gz	FASTQ	DNA	136691	30755146	223	225.0	225
rawreads/M59_2.fq.gz	FASTQ	DNA	136691	30618647	222	224.0	224
rawreads/M5_1.fq.gz	FASTQ	DNA	129464	29129256	224	225.0	225
rawreads/M5_2.fq.gz	FASTQ	DNA	129464	28999662	222	224.0	224
rawreads/M60_1.fq.gz	FASTQ	DNA	141232	31776901	223	225.0	225
rawreads/M60_2.fq.gz	FASTQ	DNA	141232	31635856	223	224.0	224
rawreads/M61_1.fq.gz	FASTQ	DNA	130011	29252191	223	225.0	225
rawreads/M61_2.fq.gz	FASTQ	DNA	130011	29122117	223	224.0	224
rawreads/M62_1.fq.gz	FASTQ	DNA	131621	29614484	223	225.0	225
rawreads/M62_2.fq.gz	FASTQ	DNA	131621	29482937	223	224.0	224
rawreads/M63_1.fq.gz	FASTQ	DNA	141103	31747902	223	225.0	225
rawreads/M63_2.fq.gz	FASTQ	DNA	141103	31606766	221	224.0	224
rawreads/M64_1.fq.gz	FASTQ	DNA	115665	26024382	223	225.0	225
rawreads/M64_2.fq.gz	FASTQ	DNA	115665	25908824	222	224.0	224
rawreads/M65_1.fq.gz	FASTQ	DNA	142032	31956916	223	225.0	225
rawreads/M65_2.fq.gz	FASTQ	DNA	142032	31814928	222	224.0	224
rawreads/M66_1.fq.gz	FASTQ	DNA	146478	32957299	224	225.0	225
rawreads/M66_2.fq.gz	FASTQ	DNA	146478	32810817	219	224.0	224
rawreads/M67_1.fq.gz	FASTQ	DNA	149646	33670057	217	225.0	225
rawreads/M67_2.fq.gz	FASTQ	DNA	149646	33520323	221	224.0	224
rawreads/M68_1.fq.gz	FASTQ	DNA	148014	33302885	223	225.0	225
rawreads/M68_2.fq.gz	FASTQ	DNA	148014	33154982	223	224.0	224
rawreads/M69_1.fq.gz	FASTQ	DNA	131716	29635852	219	225.0	225
rawreads/M69_2.fq.gz	FASTQ	DNA	131716	29504276	223	224.0	224
rawreads/M6_1.fq.gz	FASTQ	DNA	149004	33525713	216	225.0	225
rawreads/M6_2.fq.gz	FASTQ	DNA	149004	33376725	222	224.0	224
rawreads/M70_1.fq.gz	FASTQ	DNA	137313	30895150	224	225.0	225
rawreads/M70_2.fq.gz	FASTQ	DNA	137313	30757998	222	224.0	224
rawreads/M71_1.fq.gz	FASTQ	DNA	149141	33556458	223	225.0	225
rawreads/M71_2.fq.gz	FASTQ	DNA	149141	33407323	223	224.0	224
rawreads/M72_1.fq.gz	FASTQ	DNA	146055	32862091	223	225.0	225
rawreads/M72_2.fq.gz	FASTQ	DNA	146055	32715999	222	224.0	224
rawreads/M73_1.fq.gz	FASTQ	DNA	149460	33628167	224	225.0	225
rawreads/M73_2.fq.gz	FASTQ	DNA	149460	33478664	222	224.0	224
rawreads/M74_1.fq.gz	FASTQ	DNA	106404	23940666	222	225.0	225
rawreads/M74_2.fq.gz	FASTQ	DNA	106404	23834383	221	224.0	224
rawreads/M75_1.fq.gz	FASTQ	DNA	78459	17653067	220	225.0	225
rawreads/M75_2.fq.gz	FASTQ	DNA	78459	17574659	222	224.0	224
rawreads/M76_1.fq.gz	FASTQ	DNA	82111	18474768	222	225.0	225
rawreads/M76_2.fq.gz	FASTQ	DNA	82111	18392755	222	224.0	224
rawreads/M77_1.fq.gz	FASTQ	DNA	112897	25401581	223	225.0	225
rawreads/M77_2.fq.gz	FASTQ	DNA	112897	25288780	222	224.0	224
rawreads/M78_1.fq.gz	FASTQ	DNA	97830	22011528	222	225.0	225
rawreads/M78_2.fq.gz	FASTQ	DNA	97830	21913738	220	224.0	224
rawreads/M79_1.fq.gz	FASTQ	DNA	84253	18956737	223	225.0	225
rawreads/M79_2.fq.gz	FASTQ	DNA	84253	18872482	222	224.0	224
rawreads/M7_1.fq.gz	FASTQ	DNA	135465	30479477	224	225.0	225
rawreads/M7_2.fq.gz	FASTQ	DNA	135465	30343958	222	224.0	224
rawreads/M80_1.fq.gz	FASTQ	DNA	92543	20821971	222	225.0	225
rawreads/M80_2.fq.gz	FASTQ	DNA	92543	20729521	223	224.0	224
rawreads/M81_1.fq.gz	FASTQ	DNA	76817	17283644	222	225.0	225
rawreads/M81_2.fq.gz	FASTQ	DNA	76817	17206878	217	224.0	224
rawreads/M82_1.fq.gz	FASTQ	DNA	88565	19926903	223	225.0	225
rawreads/M82_2.fq.gz	FASTQ	DNA	88565	19838476	223	224.0	224
rawreads/M83_1.fq.gz	FASTQ	DNA	113706	25583599	222	225.0	225
rawreads/M83_2.fq.gz	FASTQ	DNA	113706	25469883	223	224.0	224
rawreads/M84_1.fq.gz	FASTQ	DNA	119332	26849531	220	225.0	225
rawreads/M84_2.fq.gz	FASTQ	DNA	119332	26730068	222	224.0	224
rawreads/M85_1.fq.gz	FASTQ	DNA	145811	32807295	224	225.0	225
rawreads/M85_2.fq.gz	FASTQ	DNA	145811	32661477	218	224.0	224
rawreads/M86_1.fq.gz	FASTQ	DNA	112890	25400108	223	225.0	225
rawreads/M86_2.fq.gz	FASTQ	DNA	112890	25287149	223	224.0	224
rawreads/M87_1.fq.gz	FASTQ	DNA	112560	25325839	223	225.0	225
rawreads/M87_2.fq.gz	FASTQ	DNA	112560	25213310	222	224.0	224
rawreads/M88_1.fq.gz	FASTQ	DNA	144641	32544023	219	225.0	225
rawreads/M88_2.fq.gz	FASTQ	DNA	144641	32399359	218	224.0	224
rawreads/M89_1.fq.gz	FASTQ	DNA	142645	32094933	224	225.0	225
rawreads/M89_2.fq.gz	FASTQ	DNA	142645	31952229	222	224.0	224
rawreads/M8_1.fq.gz	FASTQ	DNA	122057	27462681	223	225.0	225
rawreads/M8_2.fq.gz	FASTQ	DNA	122057	27340580	220	224.0	224
rawreads/M90_1.fq.gz	FASTQ	DNA	116568	26227627	223	225.0	225
rawreads/M90_2.fq.gz	FASTQ	DNA	116568	26110936	221	224.0	224
rawreads/M91_1.fq.gz	FASTQ	DNA	120486	27109192	224	225.0	225
rawreads/M91_2.fq.gz	FASTQ	DNA	120486	26988708	220	224.0	224
rawreads/M92_1.fq.gz	FASTQ	DNA	103609	23311888	224	225.0	225
rawreads/M92_2.fq.gz	FASTQ	DNA	103609	23208324	223	224.0	224
rawreads/M93_1.fq.gz	FASTQ	DNA	148614	33437956	219	225.0	225
rawreads/M93_2.fq.gz	FASTQ	DNA	148614	33289396	221	224.0	224
rawreads/M94_1.fq.gz	FASTQ	DNA	133717	30086124	224	225.0	225
rawreads/M94_2.fq.gz	FASTQ	DNA	133717	29952356	222	224.0	224
rawreads/M95_1.fq.gz	FASTQ	DNA	127437	28673148	223	225.0	225
rawreads/M95_2.fq.gz	FASTQ	DNA	127437	28545623	221	224.0	224
rawreads/M96_1.fq.gz	FASTQ	DNA	142095	31971230	224	225.0	225
rawreads/M96_2.fq.gz	FASTQ	DNA	142095	31828907	215	224.0	224
rawreads/M97_1.fq.gz	FASTQ	DNA	114221	25699581	224	225.0	225
rawreads/M97_2.fq.gz	FASTQ	DNA	114221	25585347	221	224.0	224
rawreads/M98_1.fq.gz	FASTQ	DNA	127399	28664632	223	225.0	225
rawreads/M98_2.fq.gz	FASTQ	DNA	127399	28537140	223	224.0	224
rawreads/M99_1.fq.gz	FASTQ	DNA	141483	31833509	223	225.0	225
rawreads/M99_2.fq.gz	FASTQ	DNA	141483	31692017	222	224.0	224
rawreads/M9_1.fq.gz	FASTQ	DNA	148690	33455081	223	225.0	225
rawreads/M9_2.fq.gz	FASTQ	DNA	148690	33306229	221	224.0	224
